"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
23,"citizenship_category_wife","Staatsangehörigkeit Kategorie der Ehefrau","Nationalité catégorie de l épouse","Nazionalità categoria della moglie","Citizenship category of wife","-1","Staatsangehörigkeit der Ehefrau - Total","Nationalité de l'épouse - total","Nazionalità della moglie - totale","Citizenship of wife - total"
23,"citizenship_category_wife","Staatsangehörigkeit Kategorie der Ehefrau","Nationalité catégorie de l épouse","Nazionalità categoria della moglie","Citizenship category of wife","1","Schweiz","Suisse","Svizzera","Switzerland"
23,"citizenship_category_wife","Staatsangehörigkeit Kategorie der Ehefrau","Nationalité catégorie de l épouse","Nazionalità categoria della moglie","Citizenship category of wife","2","Ausland","Etranger","Straniera","Foreign country"
