"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","-1","Altersklasse - Total","Classe d'âge - total","Classe d'età - totale","Age class - total"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","1","Unter 20 Jahren","Moins de 20 ans","Meno di 20 anni","Less than 20 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","2","20-29 Jahre","20-29 ans","20-29 anni","20-29 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","3","30-39 Jahre","30-39 ans","30-39 anni","30-39 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","4","40-49 Jahre","40-49 ans","40-49 anni","40-49 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","5","50-59 Jahre","50-59 ans","50-59 anni","50-59 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","6","60-69 Jahre","60-69 ans","60-69 anni","60-69 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","7","70-79 Jahre","70-79 ans","70-79 anni","70-79 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","8","80-89 Jahre","80-89 ans","80-89 anni","80-89 years"
4,"age_group_10","Altersklasse","Classe d âge","Classe d età","Age class","9","90 Jahre und mehr","90 ans ou plus","90 anni o più","90 years or older"
