"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
32,"gender_of_child","Geschlecht des Kindes","Sexe de l enfant","Sesso del bambino","Sex of child","-1","Geschlecht des Kindes - Total","Sexe de l'enfant - total","Sesso del bambino - totale","Sex of child - total"
32,"gender_of_child","Geschlecht des Kindes","Sexe de l enfant","Sesso del bambino","Sex of child","1","Knabe","Garçon","Bambino","Boy"
32,"gender_of_child","Geschlecht des Kindes","Sexe de l enfant","Sesso del bambino","Sex of child","2","Mädchen","Fille","Bambina","Girl"
