"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"-1","Vor 1919","Avant 1919",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"1","1919-1945","1919-1945",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"2","1946-1960","1946-1960",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"3","1961-1970","1961-1970",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"4","1971-1980","1971-1980",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"5","1981-1990","1981-1990",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"6","1991-2000","1991-2000",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"7","2001-2005","2001-2005",NA,NA
10,"bauperiode","Bauperiode","Epoque de construction",NA,NA,"8","2006-2020","2006-2020",NA,NA
