"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","-1","Altersklasse Partner/in 2 - Total","Classe d'âge partenaire 2 - total","Classe d'età partner 2 - totale","Age class partner 2 - total"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","1","Unter 20 Jahren","Moins de 20 ans","Meno di 20 anni","Less than 20 years"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","2","20-24 Jahre","20-24 ans","20-24 anni","20-24 years"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","3","25-29 Jahre","25-29 ans","25-29 anni","25-29 years"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","4","30-34 Jahre","30-34 ans","30-34 anni","30-34 years"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","5","35-39 Jahre","35-39 ans","35-39 anni","35-39 years"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","6","40-49 Jahre","40-49 ans","40-49 anni","40-49 years"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","7","50-59 Jahre","50-59 ans","50-59 anni","50-59 years"
49,"age_class_second_partner","Altersklasse Partner in 2","Classe d âge partenaire 2","Classe d età partner 2","Age class partner 2","8","60 Jahre und mehr","60 ans ou plus","60 anni o più","60 years or older"
