"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8242","Zypern","Chypre","Cipro","Cyprus"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8243","Slowakei","Slovaquie","Slovacchia","Slovakia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8244","Tschechien","Tchéquie","Cechia","Czechia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8248","Serbien","Serbie","Serbia","Serbia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8250","Kroatien","Croatie","Croazia","Croatia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8251","Slowenien","Slovénie","Slovenia","Slovenia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8252","Bosnien und Herzegowina","Bosnie et Herzégovine","Bosnia e Erzegovina","Bosnia and Herzegovina"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8254","Montenegro","Monténégro","Montenegro","Montenegro"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8255","Mazedonien","Macédoine","Macedonia","Macedonia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8256","Kosovo","Kosovo","Kosovo","Kosovo"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8260","Estland","Estonie","Estonia","Estonia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8261","Lettland","Lettonie","Lettonia","Latvia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8262","Litauen","Lituanie","Lituania","Lithuania"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8263","Moldova","Moldova","Moldova","Moldova"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8264","Russland","Russie","Russia","Russia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8265","Ukraine","Ukraine","Ucraina","Ukraine"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8266","Belarus","Bélarus","Belarus","Belarus"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8299","Andere Staaten Europas","Autre pays de l'Europe","Altro paese europeo","Other country of Europe"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8399","Afrika","Afrique","Africa","Africa"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8495","Nordamerika","Amérique du Nord","America settentrionale","North America"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8499","Süd- und Zentralamerika, Karibik","Amérique du Sud ou centrale, Caraïbes","Sudamerica o America centrale, Caraibi","Central and South America, Caribbean"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8599","Asien","Asie","Asia","Asia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8699","Ozeanien","Océanie","Oceania","Oceania"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8998","Staatenlos","Apatride","Apolide","Stateless"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8999","Ohne Angabe","Sans indication","Senza indicazione","No indication"
