"INDICATOR_ID","SPATIALUNIT_ID","YEAR","VALUE","VALUE_ADDITION","CAT"
481,1,2013,84,NA,"28.04.2016 16:19"
481,2,2013,82,NA,"28.04.2016 16:19"
481,3,2013,76,NA,"28.04.2016 16:19"
481,4,2013,88,NA,"28.04.2016 16:19"
481,5,2013,77,NA,"28.04.2016 16:19"
481,6,2013,94,NA,"28.04.2016 16:19"
481,7,2013,87,NA,"28.04.2016 16:19"
481,8,2013,95,NA,"28.04.2016 16:19"
481,9,2013,91,NA,"28.04.2016 16:19"
481,10,2013,92,NA,"28.04.2016 16:19"
481,11,2013,89,NA,"28.04.2016 16:19"
481,12,2013,92,NA,"28.04.2016 16:19"
481,13,2013,76,NA,"28.04.2016 16:19"
481,14,2013,84,NA,"28.04.2016 16:19"
481,15,2013,98,NA,"28.04.2016 16:19"
481,16,2013,87,NA,"28.04.2016 16:19"
481,17,2013,92,NA,"28.04.2016 16:19"
481,18,2013,93,NA,"28.04.2016 16:19"
481,19,2013,78,NA,"28.04.2016 16:19"
481,20,2013,90,NA,"28.04.2016 16:19"
481,21,2013,87,NA,"28.04.2016 16:19"
481,22,2013,93,NA,"28.04.2016 16:19"
481,23,2013,87,NA,"28.04.2016 16:19"
481,24,2013,81,NA,"28.04.2016 16:19"
481,25,2013,77,NA,"28.04.2016 16:19"
481,26,2013,90,NA,"28.04.2016 16:19"
481,27,2013,94,NA,"28.04.2016 16:19"
481,28,2013,88,NA,"28.04.2016 16:19"
481,29,2013,84,NA,"28.04.2016 16:19"
481,30,2013,89,NA,"28.04.2016 16:19"
481,31,2013,91,NA,"28.04.2016 16:19"
481,32,2013,81,NA,"28.04.2016 16:19"
481,33,2013,93,NA,"28.04.2016 16:19"
481,34,2013,95,NA,"28.04.2016 16:19"
481,35,2013,90,NA,"28.04.2016 16:19"
481,36,2013,87,NA,"28.04.2016 16:19"
481,37,2013,91,NA,"28.04.2016 16:19"
481,38,2013,97,NA,"28.04.2016 16:19"
481,39,2013,91,NA,"28.04.2016 16:19"
481,40,2013,83,NA,"28.04.2016 16:19"
481,41,2013,82,NA,"28.04.2016 16:19"
481,42,2013,86,NA,"28.04.2016 16:19"
481,43,2013,88,NA,"28.04.2016 16:19"
