Stand_Gemeindegrenzen,Bezirk_Bezeichnung,Gemeinde_BFSCode,Gemeinde_Bezeichnung,Total_Abschluss_GYM,Total_19_Jahre_alt,Maturitätsquote_GYM
2019,Bezirk Pfäffikon,181,Wila,10,91,10.99
2019,Bezirk Pfäffikon,182,Wildberg,,39,
2019,Bezirk Pfäffikon,296,Illnau-Effretikon,125,667,18.74
2019,Bezirk Pfäffikon,297,Bauma,28,215,13.02
2019,Bezirk Uster,191,Dübendorf,164,1026,15.98
2019,Bezirk Uster,192,Egg,97,393,24.68
2019,Bezirk Uster,193,Fällanden,74,310,23.87
2019,Bezirk Uster,194,Greifensee,58,219,26.48
2019,Bezirk Uster,195,Maur,167,488,34.22
2019,Bezirk Uster,196,Mönchaltorf,24,153,15.69
2019,Bezirk Uster,197,Schwerzenbach,28,197,14.21
2019,Bezirk Uster,198,Uster,296,1365,21.68
2019,Bezirk Uster,199,Volketswil,91,765,11.90
2019,Bezirk Uster,200,Wangen-Brüttisellen,50,377,13.26
2019,Bezirk Winterthur,211,Altikon,,34,
2019,Bezirk Winterthur,213,Brütten,30,79,37.97
2019,Bezirk Winterthur,214,Dägerlen,,43,
2019,Bezirk Winterthur,215,Dättlikon,,25,
2019,Bezirk Winterthur,216,Dinhard,8,65,12.31
2019,Bezirk Winterthur,218,Ellikon an der Thur,,42,
2019,Bezirk Winterthur,219,Elsau,29,173,16.76
2019,Bezirk Winterthur,220,Hagenbuch,,47,
2019,Bezirk Winterthur,221,Hettlingen,72,211,34.12
2019,Bezirk Winterthur,223,Neftenbach,35,241,14.52
2019,Bezirk Winterthur,224,Pfungen,30,172,17.44
2019,Bezirk Winterthur,225,Rickenbach (ZH),25,141,17.73
2019,Bezirk Winterthur,226,Schlatt (ZH),,32,
2019,Bezirk Winterthur,227,Seuzach,55,308,17.86
2019,Bezirk Winterthur,228,Turbenthal,21,237,8.86
2019,Bezirk Winterthur,230,Winterthur,774,4141,18.69
2019,Bezirk Winterthur,231,Zell (ZH),27,251,10.76
2019,Bezirk Winterthur,294,Elgg,44,220,20.00
2019,Bezirk Winterthur,298,Wiesendangen,68,291,23.37
2019,Bezirk Zürich,261,Zürich,2526,11944,21.15
