BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2002;6.7;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2003;6.0;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2004;5.8;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2005;5.0;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2006;6.8;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2007;6.7;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2008;7.1;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2009;8.2;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2010;5.8;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2011;7.7;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2012;7.8;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2013;4.6;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Motorfahrzeug-Neuzulassungen;603;Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.];2014;6.6;Anz.;Anzahl;
