BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;5130;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2016;5228;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2018;5232;Anz.;Anzahl;
2;Affoltern a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;50530;Anz.;Anzahl;
2;Affoltern a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2016;50370;Anz.;Anzahl;
2;Affoltern a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2018;50424;Anz.;Anzahl;
3;Bonstetten;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;10600;Anz.;Anzahl;
3;Bonstetten;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2016;11307;Anz.;Anzahl;
3;Bonstetten;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2018;11292;Anz.;Anzahl;
4;Hausen a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;7590;Anz.;Anzahl;
4;Hausen a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2016;7436;Anz.;Anzahl;
4;Hausen a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2018;7439;Anz.;Anzahl;
5;Hedingen;Raum und Umwelt;Verkehr;Verkehrsaufkommen;495;MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;9660;Anz.;Anzahl;
