"Nachname","Vorname","Stimmen","BFS-Nr.","Gemeindenamen","Bisher","Gewählt","Wahlkreis-Nr.","Wahlkreis","Kandidaten-Nr."
"Abegg","Susanna","278","154","Küsnacht","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg","Susanna","349","155","Männedorf","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg","Susanna","346","156","Meilen","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg","Susanna","48","157","Oetwil am See","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg","Susanna","365","158","Stäfa","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg","Susanna","134","159","Uetikon am See","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg","Susanna","110","160","Zumikon","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg","Susanna","223","161","Zollikon","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_505"
"Abegg-Fröhlich","Ariane","52","51","Bachenbülach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","123","52","Bassersdorf","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","270","53","Bülach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","31","54","Dietlikon","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","44","55","Eglisau","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","40","56","Embrach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","72","57","Freienstein-Teufen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","43","58","Glattfelden","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","17","59","Hochfelden","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","14","60","Höri","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","6","61","Hüntwangen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","139","62","Kloten","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","15","63","Lufingen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","40","64","Nürensdorf","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","2","65","Oberembrach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","77","66","Opfikon","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","32","67","Rafz","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","20","68","Rorbas","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","57","69","Wallisellen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","2","70","Wasterkingen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","16","71","Wil","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abegg-Fröhlich","Ariane","38","72","Winkel","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_709"
"Abt","Christine","2","21","Adlikon","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","9","22","Benken","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","9","23","Berg am Irchel","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","7","24","Buch am Irchel","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","6","25","Dachsen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","2","26","Dorf","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","16","27","Feuerthalen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","4","28","Flaach","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","6","29","Flurlingen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","15","30","Andelfingen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","10","31","Henggart","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","3","32","Humlikon","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","20","33","Kleinandelfingen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","10","34","Laufen-Uhwiesen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","22","35","Marthalen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","13","37","Ossingen","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","9","38","Rheinau","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","7","39","Thalheim an der Thur","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","35","40","Trüllikon","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","8","41","Truttikon","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","1","43","Volken","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
"Abt","Christine","43","292","Stammheim","0","0","16","KR 2019 - Wahlkreis XVI, Andelfingen","16_904"
