BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;970;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2016;1059;Anz.;Anzahl;
1;Aeugst a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2018;1075;Anz.;Anzahl;
2;Affoltern a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;10930;Anz.;Anzahl;
2;Affoltern a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2016;11668;Anz.;Anzahl;
2;Affoltern a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2018;11899;Anz.;Anzahl;
3;Bonstetten;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;3350;Anz.;Anzahl;
3;Bonstetten;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2016;3680;Anz.;Anzahl;
3;Bonstetten;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2018;3744;Anz.;Anzahl;
4;Hausen a.A.;Raum und Umwelt;Verkehr;Verkehrsaufkommen;492;ÖV-Wege Quell-, Ziel- und Binnenverkehr [Anz.];2013;1010;Anz.;Anzahl;
