"Listen-Nr.";"Liste Code";"Liste";"Kandidatenstimmen";"Stimmen von unveränderten Wahlzetteln";"Stimmen von veränderten Wahlzetteln";"Panaschierstimmen";"Panaschierstimmen pro 1'000 listenfremde Wahlzettel";"Panaschierstimmen von SVP-Listen";"Panaschierstimmen von SP-Listen";"Panaschierstimmen von FDP-Listen";"Panaschierstimmen von glp-Listen";"Panaschierstimmen von CVP-Listen";"Panaschierstimmen von GRÜNE-Listen";"Panaschierstimmen von BDP-Listen";"Panaschierstimmen von EVP-Listen";"Panaschierstimmen von JG-Listen";"Panaschierstimmen von JFZH-Listen";"Panaschierstimmen von Piraten-Listen";"Panaschierstimmen von IP-Listen";"Panaschierstimmen von CVP Frauen-Listen";"Panaschierstimmen von JUSO-Listen";"Panaschierstimmen von ÖKO-Listen";"Panaschierstimmen von Sarantidis-Listen";"Panaschierstimmen von die Guten-Listen";"Panaschierstimmen von JCVP-Listen";"Panaschierstimmen von uglp-Listen";"Panaschierstimmen von CSV-Listen";"Panaschierstimmen von Frauen EVP-Listen";"Panaschierstimmen von up!-Listen";"Panaschierstimmen von sglp-Listen";"Panaschierstimmen von PdA-Listen";"Panaschierstimmen von AL-Listen";"Panaschierstimmen von SD-Listen";"Panaschierstimmen von Junge EVP-Listen";"Panaschierstimmen von 55plus-Listen";"Panaschierstimmen von jglp-Listen";"Panaschierstimmen von GrüneM/S-Listen";"Panaschierstimmen von EDU-Listen";"Panaschierstimmen von JSVP-Listen";"Panaschierstimmen von leeren Listen";"Unveränderte Wahlzettel der Liste";"Veränderte Wahlzettel der Liste";"Total Wahlzettel der Liste";"Total listenfremde Wahlzettel";"Zusatzstimmen der Liste";"Listenstimmen"
12;"IP";"Integrale Politik (IP)";23773;7032;16741;5938;14.48;118;1117;122;773;83;2200;90;110;382;5;134;;23;83;36;3;87;11;41;5;37;14;42;21;183;4;51;6;127;12;16;2;1466;586;880;1466;410151;21741;45514
13;"CVP Frauen";"CVP, Frauen";47122;23415;23707;9215;22.45;561;797;854;1867;1951;586;352;474;109;35;112;110;;17;28;31;92;149;225;113;108;17;40;9;29;57;79;3;215;17;118;60;3207;669;498;1167;410450;1711;48833
14;"JUSO";"Sozialdemokratische Partei (SP), JUSO";104583;41718;62865;26898;65.75;135;11609;224;1230;146;7291;116;140;2767;16;211;237;39;;35;2;267;5;27;11;7;15;22;326;1607;5;34;9;202;144;13;6;4395;1227;1321;2548;409069;4022;108605
15;"ÖKO";"Öko-Partei Schweiz";1069;76;993;774;1.88;15;138;26;99;4;245;4;16;49;0;15;40;0;14;;0;20;2;3;1;0;4;4;7;42;0;6;0;6;13;1;0;136;38;56;94;411523;1994;3063
16;"Sarantidis";"Sarantidis Chrisoula (Chris)";324;74;250;182;0.44;33;19;25;19;7;11;1;4;0;1;6;2;0;3;2;;6;0;0;0;0;6;2;3;4;0;0;0;2;6;16;4;35;37;20;57;411560;1527;1851
17;"die Guten";"die Guten";44724;23766;20958;8465;20.62;152;1642;168;1089;163;1791;124;140;908;19;269;318;61;290;72;6;;61;110;23;12;20;57;77;280;13;100;11;400;39;33;17;3290;699;432;1131;410486;2430;47154
18;"JCVP";"CVP, Junge";26552;8960;17592;7774;18.91;478;381;736;1397;1855;265;326;434;124;92;87;75;217;23;28;6;85;;266;64;45;6;62;4;26;40;138;12;289;7;102;104;2871;256;300;556;411061;1289;27841
19;"uglp";"Grünliberale, UnternehmerInnen";82870;42560;40310;18063;44.1;474;1264;2255;8536;607;1124;345;297;324;123;126;214;110;45;27;6;80;107;;42;40;11;253;7;61;24;60;10;1382;30;48;31;4908;1216;798;2014;409603;2650;85520
20;"CSV";"CVP, Christlichsoziale Vereinigung (CSV)";36071;14350;21721;11355;27.63;624;1465;1133;2137;1562;1172;418;752;214;15;113;230;214;38;41;9;110;100;185;;100;2;91;18;50;50;131;20;207;23;121;10;3101;410;275;685;410932;715;36786
21;"Frauen EVP";"Evangelische Volkspartei (EVP), Frauen EVP";39424;18900;20524;8362;20.36;407;798;399;907;413;772;178;2664;203;5;41;236;113;25;15;4;20;51;92;44;;1;61;12;43;58;407;14;98;17;255;9;2418;540;391;931;410686;1109;40533
