bfs;gmd;hh1_risikopersonen;hh11_alleinstehend;hh12_paar_beide_alt;hh13_paar_eine_person_alt;hh2_kinderbetreuungsproblem;hh21_alleinerziehend;hh22_elternpaar;hh3_andere
32;Humlikon;34.04255319;10.10638298;19.14893617;4.787234043;22.34042553;0.531914894;21.80851064;43.61702128
33;Kleinandelfingen;28.99207248;9.852774632;12.79728199;6.342015855;19.25254813;1.585503964;17.66704417;51.75537939
34;Laufen-Uhwiesen;32.05128205;11.28205128;13.84615385;6.923076923;15.38461538;1.025641026;14.35897436;52.56410256
35;Marthalen;30.07159905;11.09785203;11.93317422;7.040572792;16.9451074;1.670644391;15.27446301;52.98329356
37;Ossingen;28.29131653;10.22408964;11.76470588;6.302521008;17.36694678;1.120448179;16.2464986;54.34173669
38;Rheinau;31.52542373;12.88135593;12.03389831;6.610169492;14.23728814;1.694915254;12.54237288;54.23728814
39;Thalheim a.d.Th.;25.71428571;8.051948052;11.94805195;5.714285714;18.7012987;1.298701299;17.4025974;55.58441558
40;Trüllikon;37.41935484;10.53763441;16.77419355;10.10752688;14.40860215;1.720430108;12.68817204;48.17204301
41;Truttikon;30.6010929;8.743169399;13.66120219;8.196721311;16.93989071;2.18579235;14.75409836;52.45901639
43;Volken;19.35483871;7.096774194;7.096774194;5.161290323;21.93548387;2.580645161;19.35483871;58.70967742
51;Bachenbülach;32.75378575;11.21704992;14.13348289;7.403252944;19.06898486;2.019068985;17.04991587;48.17722939
52;Bassersdorf;26.49589754;9.30558335;11.20672403;5.983590154;19.47168301;2.121272764;17.35041025;54.03241945
53;Bülach;26.0364489;10.92401151;10.31652989;4.795907492;19.15165725;2.035596291;17.11606096;54.81189385
54;Dietlikon;31.61700897;12.61209141;12.98814001;6.016777553;18.5131617;1.648828464;16.86433324;49.86982933
55;Eglisau;28.3629731;9.667122663;12.1751026;6.520747834;22.29822161;1.778385773;20.51983584;49.33880529
56;Embrach;27.52176139;9.907834101;11.13671275;6.477214542;19.66205837;2.022529442;17.63952893;52.81618024
57;Freienstein-Teufen;31.09072375;8.256880734;14.37308869;8.460754332;17.73700306;1.019367992;16.71763507;51.17227319
58;Glattfelden;24.49074074;8.796296296;9.62962963;6.064814815;22.12962963;2.685185185;19.44444444;53.37962963
59;Hochfelden;28.49936948;8.701134931;12.98865069;6.809583859;21.94199243;2.017654477;19.92433796;49.55863808
60;Höri;25.98081953;8.718395815;10.11333915;7.149084568;19.7907585;1.39494333;18.39581517;54.22842197
61;Hüntwangen;32.00934579;10.74766355;13.78504673;7.476635514;18.45794393;2.102803738;16.35514019;49.53271028
62;Kloten;24.72604969;10.95801237;8.245633069;5.522404253;16.51296517;1.920364544;14.59260063;58.76098514
63;Lufingen;21.42857143;6.617647059;8.613445378;6.197478992;23.1092437;1.680672269;21.42857143;55.46218487
64;Nürensdorf;34.0218712;12.47468611;14.2162819;7.3309032;16.88942892;2.025111381;14.86431754;49.08869988
65;Oberembrach;29.54545455;8.47107438;12.60330579;8.47107438;14.25619835;1.033057851;13.2231405;56.19834711
66;Opfikon;18.73940678;8.326271186;5.773305085;4.639830508;20.01059322;1.779661017;18.2309322;61.25
67;Rafz;27.95535261;9.994926433;12.07508879;5.885337392;19.17808219;1.674277017;17.50380518;52.8665652
68;Rorbas;21.2987013;7.792207792;8.484848485;5.021645022;24.93506494;2.077922078;22.85714286;53.76623377
69;Wallisellen;23.81948986;10.58207979;9.169391759;4.068018313;18.75735775;1.569653368;17.18770438;57.42315239
70;Wasterkingen;33.86454183;15.13944223;11.95219124;6.772908367;16.73306773;0.796812749;15.93625498;49.40239044
71;Wil;33.49917081;10.77943615;14.26202322;8.457711443;17.91044776;0.497512438;17.41293532;48.59038143
72;Winkel;29.72972973;10.11011011;12.96296296;6.656656657;16.96696697;1.701701702;15.26526527;53.3033033
