BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;700;m.ü.M.;Meter über Meer;
2;Affoltern a.A.;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;494;m.ü.M.;Meter über Meer;
3;Bonstetten;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;528;m.ü.M.;Meter über Meer;
4;Hausen a.A.;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;617;m.ü.M.;Meter über Meer;
5;Hedingen;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;497;m.ü.M.;Meter über Meer;
6;Kappel a.A.;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;576;m.ü.M.;Meter über Meer;
7;Knonau;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;436;m.ü.M.;Meter über Meer;
8;Maschwanden;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;409;m.ü.M.;Meter über Meer;
9;Mettmenstetten;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;460;m.ü.M.;Meter über Meer;
10;Obfelden;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;436;m.ü.M.;Meter über Meer;
11;Ottenbach;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;420;m.ü.M.;Meter über Meer;
12;Rifferswil;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;590;m.ü.M.;Meter über Meer;
13;Stallikon;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;550;m.ü.M.;Meter über Meer;
14;Wettswil a.A.;Raum und Umwelt;Geographie, Flächen;Höhe;43;Höhe [m.ü.M.];1995;562;m.ü.M.;Meter über Meer;
