BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];1985;30;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];1990;24;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];1996;18;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];2000;18;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];2005;15;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];2007;14;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];2008;12;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];2009;11;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];2010;11;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;271;Hauptberufliche Landwirtschaftsbetriebe [Anz.];2011;10;Anz.;Anzahl;
