"spatialunit_ontology","spatialunit_hist_id","spatialunit_current_id","spatialunit_name_de","spatialunit_name_fr","spatialunit_name_it","spatialunit_name_en","valid_from","valid_until","canton_hist_id","district_hist_id"
"A.ADM3",10562,4145,"Teufenthal (AG)","Teufenthal (AG)","Teufenthal (AG)","Teufenthal (AG)","01.01.1960","",19,10022
"A.ADM3",10579,4210,"Staufen","Staufen","Staufen","Staufen","01.01.1960","",19,10020
"A.ADM3",10582,4260,"Stein (AG)","Stein (AG)","Stein (AG)","Stein (AG)","01.01.1960","",19,10018
"A.ADM3",10585,4012,"Suhr","Suhr","Suhr","Suhr","01.01.1960","",19,10026
"A.ADM3",10590,4285,"Strengelbach","Strengelbach","Strengelbach","Strengelbach","01.01.1960","",19,10017
"A.ADM3",10591,4116,"Stilli","Stilli","Stilli","Stilli","01.01.1960","31.12.2005",19,10023
"A.ADM3",10595,4041,"Stetten (AG)","Stetten (AG)","Stetten (AG)","Stetten (AG)","01.01.1960","",19,10025
"A.ADM3",10707,4284,"Staffelbach","Staffelbach","Staffelbach","Staffelbach","01.01.1960","",19,10017
"A.ADM3",10760,4117,"Thalheim (AG)","Thalheim (AG)","Thalheim (AG)","Thalheim (AG)","01.01.1960","",19,10023
"A.ADM3",10849,4179,"Ueken","Ueken","Ueken","Ueken","01.01.1960","",19,10021
"A.ADM3",10850,4286,"Uerkheim","Uerkheim","Uerkheim","Uerkheim","01.01.1960","",19,10017
"A.ADM3",10853,4078,"Uezwil","Uezwil","Uezwil","Uezwil","01.01.1960","",19,10024
"A.ADM3",10858,4118,"Umiken","Umiken","Umiken","Umiken","01.01.1960","31.12.2009",19,10023
"A.ADM3",10861,4119,"Unterbözberg","Unterbözberg","Unterbözberg","Unterbözberg","01.01.1960","31.12.2012",19,10023
"A.ADM3",10862,4043,"Unterehrendingen","Unterehrendingen","Unterehrendingen","Unterehrendingen","01.01.1960","31.12.2005",19,10025
"A.ADM3",10863,4321,"Unterendingen","Unterendingen","Unterendingen","Unterendingen","01.01.1960","31.12.2013",19,10016
"A.ADM3",10866,4146,"Unterkulm","Unterkulm","Unterkulm","Unterkulm","01.01.1960","",19,10022
"A.ADM3",10867,4079,"Unterlunkhofen","Unterlunkhofen","Unterlunkhofen","Unterlunkhofen","01.01.1960","",19,10024
"A.ADM3",10871,4044,"Untersiggenthal","Untersiggenthal","Untersiggenthal","Untersiggenthal","01.01.1960","",19,10025
"A.ADM3",10886,4042,"Turgi","Turgi","Turgi","Turgi","01.01.1960","",19,10025
"A.ADM3",10888,4013,"Unterentfelden","Unterentfelden","Unterentfelden","Unterentfelden","01.01.1960","",19,10026
"A.ADM3",10911,4120,"Veltheim (AG)","Veltheim (AG)","Veltheim (AG)","Veltheim (AG)","01.01.1960","",19,10023
"A.ADM3",11198,4095,"Brugg","Brugg","Brugg","Brugg","01.01.1960","31.12.1969",19,10023
"A.ADM3",11227,4025,"Dättwil","Dättwil","Dättwil","Dättwil","01.01.1960","31.12.1961",19,10025
"A.ADM3",11228,4102,"Lauffohr","Lauffohr","Lauffohr","Lauffohr","01.01.1960","31.12.1969",19,10023
"A.ADM3",11240,4021,"Baden","Baden","Baden","Baden","01.01.1960","31.12.1961",19,10025
"A.ADM3",11288,4074,"Oberwil (AG)","Oberwil (AG)","Oberwil (AG)","Oberwil (AG)","01.01.1960","31.12.1983",19,10024
"A.ADM3",11320,4061,"Arni-Islisberg","Arni-Islisberg","Arni-Islisberg","Arni-Islisberg","01.01.1960","31.12.1982",19,10024
"A.ADM3",11454,4003,"Buchs (AG)","Buchs (AG)","Buchs (AG)","Buchs (AG)","01.01.1960","",19,10026
"A.ADM3",11464,4229,"Bünzen","Bünzen","Bünzen","Bünzen","01.01.1960","",19,10019
"A.ADM3",11472,4193,"Brunegg","Brunegg","Brunegg","Brunegg","01.01.1960","",19,10020
"A.ADM3",11488,4064,"Büttikon","Büttikon","Büttikon","Büttikon","01.01.1960","",19,10024
"A.ADM3",11490,4230,"Buttwil","Buttwil","Buttwil","Buttwil","01.01.1960","",19,10019
"A.ADM3",11503,4133,"Burg (AG)","Burg (AG)","Burg (AG)","Burg (AG)","01.01.1960","",19,10022
"A.ADM3",11556,4004,"Densbüren","Densbüren","Densbüren","Densbüren","01.01.1960","",19,10026
"A.ADM3",11564,4231,"Dietwil","Dietwil","Dietwil","Dietwil","01.01.1960","",19,10019
"A.ADM3",11566,4194,"Dintikon","Dintikon","Dintikon","Dintikon","01.01.1960","",19,10020
"A.ADM3",11636,4274,"Brittnau","Brittnau","Brittnau","Brittnau","01.01.1960","",19,10017
"A.ADM3",11659,4223,"Auw","Auw","Auw","Auw","01.01.1960","",19,10019
"A.ADM3",11668,4272,"Attelwil","Attelwil","Attelwil","Attelwil","01.01.1960","31.12.2018",19,10017
"A.ADM3",11681,4091,"Auenstein","Auenstein","Auenstein","Auenstein","01.01.1960","",19,10023
"A.ADM3",11706,4301,"Baldingen","Baldingen","Baldingen","Baldingen","01.01.1960","",19,10016
"A.ADM3",11736,4001,"Aarau","Aarau","Aarau","Aarau","01.01.1960","31.12.2009",19,10026
"A.ADM3",11738,4271,"Aarburg","Aarburg","Aarburg","Aarburg","01.01.1960","",19,10017
"A.ADM3",11741,4221,"Abtwil","Abtwil","Abtwil","Abtwil","01.01.1960","",19,10019
"A.ADM3",11764,4222,"Aristau","Aristau","Aristau","Aristau","01.01.1960","",19,10019
"A.ADM3",11783,4191,"Ammerswil","Ammerswil","Ammerswil","Ammerswil","01.01.1960","",19,10020
"A.ADM3",11790,4192,"Boniswil","Boniswil","Boniswil","Boniswil","01.01.1960","",19,10020
"A.ADM3",11800,4228,"Boswil","Boswil","Boswil","Boswil","01.01.1960","",19,10019
"A.ADM3",11814,4302,"Böbikon","Böbikon","Böbikon","Böbikon","01.01.1960","",19,10016
"A.ADM3",11824,4063,"Bremgarten (AG)","Bremgarten (AG)","Bremgarten (AG)","Bremgarten (AG)","01.01.1960","31.12.2013",19,10024
