Stand,Kanton,Jahr,Stufe,Schultyp,Geschlecht,Nationalitaet,Finanzierung,Anzahl
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,F,Ausländer,priv,221
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,F,CH,priv,197
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,M,CH,priv,1147
23.11.2020,zh,2000,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,oef,81
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,M,CH,oef,10999
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,M,Ausländer,priv,278
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,M,Ausländer,oef,4453
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,F,Ausländer,oef,211
23.11.2020,zh,2000,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,priv,2
23.11.2020,zh,2000,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,oef,46
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,F,CH,priv,834
23.11.2020,zh,2000,Sekundarstufe I,Heim- und Sonderschule,M,CH,priv,7
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,M,Ausländer,priv,27
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,M,CH,priv,155
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,F,Ausländer,priv,18
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,F,CH,oef,10719
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,M,CH,oef,2144
23.11.2020,zh,2000,Sekundarstufe I,Heim- und Sonderschule,M,CH,oef,323
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,M,Ausländer,oef,186
23.11.2020,zh,2000,Sekundarstufe I,Mittelschule,F,CH,oef,2764
23.11.2020,zh,2000,Sekundarstufe I,Volksschule,F,Ausländer,oef,4220
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,F,Ausländer,oef,502
23.11.2020,zh,2000,Sekundarstufe II,Heim- und Sonderschule,M,CH,oef,50
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,M,CH,oef,456
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,M,CH,priv,576
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,M,Ausländer,priv,37
23.11.2020,zh,2000,Sekundarstufe II,Heim- und Sonderschule,M,CH,priv,6
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,F,Ausländer,priv,395
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,M,CH,priv,175
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,M,CH,priv,1084
