Stand,Kanton,Jahr,Stufe,Schultyp,Geschlecht,Nationalitaet,Finanzierung,Anzahl
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,F,CH,priv,317
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,M,CH,priv,271
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,F,Ausländer,oef,3353
23.11.2020,zh,2003,Primarstufe 1-2,Heim- und Sonderschule,M,CH,oef,242
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,M,Ausländer,priv,143
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,F,Ausländer,priv,140
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,F,CH,oef,349
23.11.2020,zh,2003,Primarstufe 3-8,Höhere Berufsbildung,F,CH,oef,14
23.11.2020,zh,2003,Primarstufe 3-8,Berufsfachschule,F,Ausländer,priv,4
23.11.2020,zh,2003,Primarstufe 3-8,Berufsfachschule,M,CH,priv,14
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,F,Ausländer,oef,10102
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,M,Ausländer,oef,10902
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,F,CH,priv,969
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,M,CH,priv,1122
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,M,CH,oef,717
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,M,Ausländer,priv,597
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,F,CH,priv,9
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,oef,242
23.11.2020,zh,2003,Primarstufe 3-8,Berufsfachschule,F,CH,priv,20
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,F,Ausländer,priv,543
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,M,CH,priv,18
23.11.2020,zh,2003,Primarstufe 3-8,Berufsfachschule,M,Ausländer,priv,11
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,priv,4
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,M,CH,oef,28766
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,priv,1
23.11.2020,zh,2003,Primarstufe 3-8,Volksschule,F,CH,oef,27387
23.11.2020,zh,2003,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,oef,134
23.11.2020,zh,2003,Primarstufe 3-8,Höhere Berufsbildung,M,CH,oef,1
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,F,CH,priv,12
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,M,Ausländer,oef,4378
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,M,CH,oef,11395
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,M,Ausländer,priv,17
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,F,CH,oef,184
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,F,CH,oef,3025
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,M,Ausländer,priv,371
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,M,CH,priv,1285
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,F,CH,oef,10977
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,M,CH,oef,399
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,F,Ausländer,priv,6
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,F,CH,priv,143
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,priv,2
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,M,Ausländer,oef,212
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,F,Ausländer,oef,262
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,M,CH,oef,2509
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,priv,8
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,oef,50
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,F,Ausländer,oef,4095
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,oef,109
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,F,Ausländer,priv,290
23.11.2020,zh,2003,Sekundarstufe I,Heim- und Sonderschule,M,CH,priv,31
23.11.2020,zh,2003,Sekundarstufe I,Volksschule,F,CH,priv,889
23.11.2020,zh,2003,Sekundarstufe I,Mittelschule,M,CH,priv,154
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,M,CH,oef,545
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,F,Ausländer,priv,221
23.11.2020,zh,2003,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,oef,21
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,F,CH,priv,570
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,F,CH,oef,13353
23.11.2020,zh,2003,Sekundarstufe II,Heim- und Sonderschule,M,CH,oef,63
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,F,CH,oef,725
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,M,Ausländer,priv,235
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,M,CH,oef,16758
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,F,Ausländer,oef,479
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,F,Ausländer,oef,302
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,F,Ausländer,oef,2693
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,M,Ausländer,oef,4085
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,M,CH,priv,433
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,F,CH,oef,4370
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,M,Ausländer,priv,313
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,M,CH,oef,2915
23.11.2020,zh,2003,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,oef,24
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,F,CH,priv,2671
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,M,Ausländer,oef,406
23.11.2020,zh,2003,Sekundarstufe II,Heim- und Sonderschule,M,CH,priv,5
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,F,Ausländer,priv,389
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,M,CH,priv,118
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,F,Ausländer,priv,38
23.11.2020,zh,2003,Sekundarstufe II,Mittelschule,M,Ausländer,oef,225
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,F,CH,priv,137
23.11.2020,zh,2003,Sekundarstufe II,Brückenangebot,M,Ausländer,priv,37
23.11.2020,zh,2003,Sekundarstufe II,Heim- und Sonderschule,F,CH,oef,32
23.11.2020,zh,2003,Sekundarstufe II,Berufsfachschule,M,CH,priv,1294
23.11.2020,zh,2003,Sekundarstufe II,Heim- und Sonderschule,F,CH,priv,2
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,oef,4050
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,oef,749
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,priv,374
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,oef,589
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,priv,1232
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,oef,372
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,M,CH,priv,4803
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,F,CH,oef,2967
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,oef,3314
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,F,CH,priv,3749
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,priv,49
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,priv,129
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,priv,266
23.11.2020,zh,2003,Tertiärstufe,Höhere Berufsbildung,M,CH,oef,4286
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,priv,402
23.11.2020,zh,2003,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,oef,451
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,F,Ausländer,oef,3301
23.11.2020,zh,2004,Primarstufe 1-2,Heim- und Sonderschule,M,Ausländer,oef,188
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,M,CH,priv,259
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,F,CH,priv,289
23.11.2020,zh,2004,Primarstufe 1-2,Heim- und Sonderschule,F,Ausländer,oef,99
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,F,Ausländer,priv,154
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,M,Ausländer,oef,3487
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,F,CH,oef,8076
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,M,Ausländer,priv,146
23.11.2020,zh,2004,Primarstufe 1-2,Heim- und Sonderschule,F,CH,oef,149
23.11.2020,zh,2004,Primarstufe 1-2,Volksschule,M,CH,oef,8722
23.11.2020,zh,2004,Primarstufe 1-2,Heim- und Sonderschule,M,CH,oef,249
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,F,Ausländer,oef,9989
23.11.2020,zh,2004,Primarstufe 3-8,Heim- und Sonderschule,F,CH,priv,6
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,M,CH,oef,28678
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,M,CH,priv,1134
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,F,CH,priv,969
23.11.2020,zh,2004,Primarstufe 3-8,Heim- und Sonderschule,F,CH,oef,339
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,F,CH,oef,27244
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,F,Ausländer,priv,509
23.11.2020,zh,2004,Primarstufe 3-8,Heim- und Sonderschule,M,CH,priv,17
23.11.2020,zh,2004,Primarstufe 3-8,Heim- und Sonderschule,M,CH,oef,713
23.11.2020,zh,2004,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,oef,254
23.11.2020,zh,2004,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,priv,4
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,M,Ausländer,priv,581
23.11.2020,zh,2004,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,oef,134
23.11.2020,zh,2004,Primarstufe 3-8,Volksschule,M,Ausländer,oef,10647
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,priv,1
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,M,CH,priv,128
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,F,Ausländer,oef,229
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,F,CH,oef,11109
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,oef,104
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,M,CH,priv,40
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,priv,10
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,F,Ausländer,priv,290
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,F,Ausländer,oef,4082
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,F,Ausländer,priv,6
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,M,Ausländer,oef,200
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,M,CH,priv,1221
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,M,Ausländer,oef,4408
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,F,CH,priv,16
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,F,CH,priv,961
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,F,CH,oef,194
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,M,Ausländer,priv,21
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,oef,49
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,F,CH,priv,131
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,M,Ausländer,priv,360
23.11.2020,zh,2004,Sekundarstufe I,Heim- und Sonderschule,M,CH,oef,387
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,M,CH,oef,2554
23.11.2020,zh,2004,Sekundarstufe I,Mittelschule,F,CH,oef,3173
23.11.2020,zh,2004,Sekundarstufe I,Volksschule,M,CH,oef,11749
23.11.2020,zh,2004,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,oef,30
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,F,CH,priv,146
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,F,Ausländer,oef,433
23.11.2020,zh,2004,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,priv,3
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,F,CH,priv,562
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,F,CH,oef,13728
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,F,Ausländer,priv,231
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,M,CH,priv,1384
23.11.2020,zh,2004,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,priv,1
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,F,CH,priv,2721
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,F,Ausländer,priv,44
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,M,Ausländer,oef,3806
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,F,CH,oef,4448
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,M,CH,oef,523
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,M,CH,oef,17125
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,M,CH,priv,110
23.11.2020,zh,2004,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,oef,17
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,M,Ausländer,oef,402
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,M,Ausländer,priv,18
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,M,Ausländer,priv,290
23.11.2020,zh,2004,Sekundarstufe II,Heim- und Sonderschule,F,CH,oef,47
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,M,Ausländer,priv,241
23.11.2020,zh,2004,Sekundarstufe II,Brückenangebot,F,CH,oef,691
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,M,Ausländer,oef,247
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,M,CH,oef,3073
23.11.2020,zh,2004,Sekundarstufe II,Heim- und Sonderschule,M,CH,oef,88
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,F,Ausländer,oef,316
23.11.2020,zh,2004,Sekundarstufe II,Mittelschule,M,CH,priv,450
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,F,Ausländer,oef,2547
23.11.2020,zh,2004,Sekundarstufe II,Berufsfachschule,F,Ausländer,priv,389
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,oef,3617
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,oef,291
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,priv,263
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,oef,397
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,priv,52
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,priv,410
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,M,CH,oef,4080
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,priv,141
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,priv,333
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,F,CH,priv,3171
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,M,CH,priv,3570
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,oef,468
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,oef,4507
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,oef,391
23.11.2020,zh,2004,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,priv,1271
23.11.2020,zh,2004,Tertiärstufe,Höhere Berufsbildung,F,CH,oef,3166
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,M,Ausländer,priv,162
23.11.2020,zh,2005,Primarstufe 1-2,Heim- und Sonderschule,M,CH,oef,300
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,M,CH,priv,270
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,F,CH,oef,8373
23.11.2020,zh,2005,Primarstufe 1-2,Heim- und Sonderschule,M,CH,priv,1
23.11.2020,zh,2005,Primarstufe 1-2,Heim- und Sonderschule,M,Ausländer,oef,206
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,M,Ausländer,oef,3424
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,M,CH,oef,8817
23.11.2020,zh,2005,Primarstufe 1-2,Heim- und Sonderschule,F,Ausländer,oef,93
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,F,Ausländer,oef,3096
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,F,CH,priv,314
23.11.2020,zh,2005,Primarstufe 1-2,Volksschule,F,Ausländer,priv,175
23.11.2020,zh,2005,Primarstufe 1-2,Heim- und Sonderschule,F,CH,oef,154
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,oef,131
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,priv,3
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,M,CH,oef,716
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,M,CH,priv,1121
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,F,CH,oef,27177
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,F,CH,priv,931
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,M,CH,priv,19
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,F,Ausländer,oef,9858
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,F,CH,priv,10
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,priv,2
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,F,CH,oef,319
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,M,CH,oef,28575
23.11.2020,zh,2005,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,oef,276
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,F,Ausländer,priv,557
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,M,Ausländer,oef,10400
23.11.2020,zh,2005,Primarstufe 3-8,Volksschule,M,Ausländer,priv,610
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,M,CH,priv,1227
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,priv,6
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,F,CH,oef,3116
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,oef,121
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,M,CH,oef,403
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,M,Ausländer,priv,10
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,F,CH,priv,17
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,F,CH,oef,11280
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,M,Ausländer,oef,4284
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,F,CH,priv,150
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,M,Ausländer,priv,370
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,F,CH,priv,969
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,F,Ausländer,priv,299
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,M,CH,priv,41
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,oef,68
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,M,CH,priv,122
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,M,CH,oef,11937
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,F,Ausländer,priv,12
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,M,CH,oef,2538
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,M,Ausländer,oef,215
23.11.2020,zh,2005,Sekundarstufe I,Volksschule,F,Ausländer,oef,3836
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,priv,12
23.11.2020,zh,2005,Sekundarstufe I,Heim- und Sonderschule,F,CH,oef,207
23.11.2020,zh,2005,Sekundarstufe I,Mittelschule,F,Ausländer,oef,252
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,M,CH,priv,89
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,M,CH,priv,504
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,M,CH,priv,1411
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,F,Ausländer,oef,2530
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,F,CH,priv,559
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,F,Ausländer,priv,219
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,M,Ausländer,priv,18
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,M,CH,oef,84
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,M,CH,priv,7
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,F,CH,oef,4568
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,F,CH,oef,740
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,F,CH,priv,2803
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,priv,1
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,F,Ausländer,priv,28
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,M,Ausländer,oef,3736
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,F,Ausländer,priv,362
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,M,Ausländer,oef,259
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,M,CH,oef,17586
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,F,CH,priv,1
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,F,Ausländer,oef,470
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,F,CH,oef,57
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,priv,1
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,oef,21
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,M,Ausländer,priv,258
23.11.2020,zh,2005,Sekundarstufe II,Berufsfachschule,F,CH,oef,14114
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,F,Ausländer,oef,310
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,M,CH,oef,548
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,M,CH,oef,3141
23.11.2020,zh,2005,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,oef,31
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,F,CH,priv,136
23.11.2020,zh,2005,Sekundarstufe II,Brückenangebot,M,Ausländer,oef,403
23.11.2020,zh,2005,Sekundarstufe II,Mittelschule,M,Ausländer,priv,249
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,oef,437
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,oef,782
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,priv,48
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,oef,3917
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,oef,518
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,oef,719
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,F,CH,oef,2670
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,priv,423
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,F,CH,priv,3482
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,M,CH,oef,3268
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,priv,325
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,M,CH,priv,3678
23.11.2020,zh,2005,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,priv,351
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,priv,139
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,priv,1242
23.11.2020,zh,2005,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,oef,4844
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,M,Ausländer,oef,3172
23.11.2020,zh,2006,Primarstufe 1-2,Heim- und Sonderschule,M,Ausländer,oef,213
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,M,Ausländer,priv,194
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,F,CH,priv,340
23.11.2020,zh,2006,Primarstufe 1-2,Heim- und Sonderschule,F,Ausländer,oef,87
23.11.2020,zh,2006,Primarstufe 1-2,Heim- und Sonderschule,M,CH,oef,327
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,M,CH,oef,8558
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,F,Ausländer,oef,3013
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,F,CH,oef,8373
23.11.2020,zh,2006,Primarstufe 1-2,Heim- und Sonderschule,F,CH,oef,148
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,F,Ausländer,priv,189
23.11.2020,zh,2006,Primarstufe 1-2,Volksschule,M,CH,priv,310
23.11.2020,zh,2006,Primarstufe 3-8,Volksschule,M,CH,priv,1150
23.11.2020,zh,2006,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,priv,2
23.11.2020,zh,2006,Primarstufe 3-8,Volksschule,M,CH,oef,28726
23.11.2020,zh,2006,Primarstufe 3-8,Volksschule,F,Ausländer,oef,9506
