JAHR;GEMEINDE_BFS_NR;GEMEINDE;BEZIRK_CODE;BEZIRK;REGION_CODE;REGION;HEIMAT_CODE;HEIMAT;GESCHLECHT_CODE;GESCHLECHT;ANZAHL_PERSONEN
2013;6;Kappel a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;54
2019;6;Kappel a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;103
2010;6;Kappel a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;50
2017;7;Knonau;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;945
2016;7;Knonau;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;906
2013;7;Knonau;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;143
2012;7;Knonau;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;127
2018;7;Knonau;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;243
2015;7;Knonau;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;883
2010;7;Knonau;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;801
2019;8;Maschwanden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;285
2010;8;Maschwanden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;290
2013;8;Maschwanden;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;48
2018;8;Maschwanden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;295
2015;9;Mettmenstetten;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;290
2010;9;Mettmenstetten;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;1881
2018;9;Mettmenstetten;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;2190
2020;9;Mettmenstetten;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;2228
2020;9;Mettmenstetten;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;410
2017;9;Mettmenstetten;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;330
2018;10;Obfelden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;2256
2012;10;Obfelden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;2003
2014;10;Obfelden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1981
2010;10;Obfelden;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;386
2017;10;Obfelden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;2164
2018;10;Obfelden;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;2158
2016;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;152
2019;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1107
2017;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1107
2019;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;169
2011;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;1131
2010;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;100
2011;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;112
2019;11;Ottenbach;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;173
2019;12;Rifferswil;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;55
2012;12;Rifferswil;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;29
2019;12;Rifferswil;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;459
2020;12;Rifferswil;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;472
2010;12;Rifferswil;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;26
2013;12;Rifferswil;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;473
2014;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;1339
2012;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;1339
2010;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1312
2011;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;286
2020;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1468
2011;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;1328
2012;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1369
2010;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;265
2019;13;Stallikon;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;441
2020;14;Wettswil a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;452
2015;14;Wettswil a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;2134
2019;14;Wettswil a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;445
2011;14;Wettswil a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;2037
2014;21;Adlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;20
2014;21;Adlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;28
2015;21;Adlikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;294
2016;21;Adlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;31
2017;22;Benken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;53
2015;22;Benken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;58
2013;22;Benken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;42
2010;22;Benken;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;368
2016;22;Benken;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;378
2014;23;Berg a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;29
2011;23;Berg a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;25
2019;23;Berg a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;270
2013;23;Berg a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;266
2019;23;Berg a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;27
2017;23;Berg a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;27
2011;23;Berg a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;272
2012;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;38
2019;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;39
2018;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;36
2011;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;418
2011;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;407
2017;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;458
2013;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;437
2010;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;31
2012;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;420
2019;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;468
2014;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;30
2013;24;Buch a.I.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;38
2010;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;151
2018;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;100
2010;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;114
2020;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;831
2011;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;150
2010;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;841
2015;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;170
2011;25;Dachsen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;856
2013;26;Dorf;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;17
2020;26;Dorf;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;41
2016;26;Dorf;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;19
2012;26;Dorf;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;23
2012;26;Dorf;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;295
2017;26;Dorf;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;30
2012;27;Feuerthalen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;369
2013;27;Feuerthalen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;1331
2018;27;Feuerthalen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;445
2012;27;Feuerthalen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;419
2015;27;Feuerthalen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;1385
2014;27;Feuerthalen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;1347
2011;27;Feuerthalen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;372
2018;28;Flaach;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;587
2018;28;Flaach;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;79
2010;28;Flaach;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;559
2012;28;Flaach;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;567
2015;28;Flaach;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;565
2019;28;Flaach;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;593
2020;28;Flaach;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;124
2017;28;Flaach;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;73
2020;29;Flurlingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;648
2013;29;Flurlingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;598
2014;29;Flurlingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;602
2016;29;Flurlingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;601
2016;29;Flurlingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;613
2010;30;Andelfingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;855
2014;30;Andelfingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;966
2015;30;Andelfingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;914
2017;30;Andelfingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;908
2019;30;Andelfingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;128
2015;31;Henggart;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;110
2020;31;Henggart;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;1072
2013;31;Henggart;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;989
2015;31;Henggart;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;97
2017;32;Humlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;17
2015;32;Humlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;17
2012;32;Humlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;11
2014;32;Humlikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;236
2010;32;Humlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;13
2010;32;Humlikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;12
2018;33;Kleinandelfingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;114
2018;33;Kleinandelfingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;953
2015;33;Kleinandelfingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;920
2018;33;Kleinandelfingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;143
2012;33;Kleinandelfingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;119
2016;34;Laufen-Uhwiesen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;721
2015;34;Laufen-Uhwiesen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;725
2016;34;Laufen-Uhwiesen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;104
2013;34;Laufen-Uhwiesen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;83
2014;34;Laufen-Uhwiesen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;106
2013;35;Marthalen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;93
2015;35;Marthalen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;856
2011;35;Marthalen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;94
2020;35;Marthalen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;847
2018;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;90
2018;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;738
2020;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;99
2010;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;637
2012;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;633
2016;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;72
2017;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;81
2013;37;Ossingen;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;47
2016;38;Rheinau;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;145
2020;38;Rheinau;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;107
2015;38;Rheinau;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;148
2011;38;Rheinau;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;517
2019;39;Thalheim a.d.Th.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;45
2012;39;Thalheim a.d.Th.;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;51
2013;39;Thalheim a.d.Th.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;398
2016;39;Thalheim a.d.Th.;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;425
2010;40;Trüllikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;23
2012;40;Trüllikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;36
2011;40;Trüllikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;456
2014;40;Trüllikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;38
2010;40;Trüllikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;467
2012;40;Trüllikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;469
2014;41;Truttikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;210
2011;41;Truttikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;20
2016;41;Truttikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;209
2019;41;Truttikon;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;11
2018;41;Truttikon;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;235
2019;43;Volken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;14
2015;43;Volken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;17
2018;43;Volken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;23
2017;43;Volken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;2;Frau;10
2012;43;Volken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;21
2011;43;Volken;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;130
2019;43;Volken;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;2;Frau;168
2013;43;Volken;102;Bezirk Andelfingen;110;Weinland;2;Ausland;1;Mann;21
2012;43;Volken;102;Bezirk Andelfingen;110;Weinland;1;Schweiz;1;Mann;145
2013;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;1551
2020;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;1610
2018;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;1598
2016;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;1509
2011;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;468
2012;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;1493
2013;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;519
2020;51;Bachenbülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;1552
2010;52;Bassersdorf;103;Bezirk Bülach;102;Glattal;1;Schweiz;2;Frau;4339
2010;52;Bassersdorf;103;Bezirk Bülach;102;Glattal;2;Ausland;2;Frau;1191
2012;52;Bassersdorf;103;Bezirk Bülach;102;Glattal;2;Ausland;2;Frau;1208
2011;53;Bülach;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;2194
2017;53;Bülach;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;2594
2010;53;Bülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;6388
2020;53;Bülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;8106
2019;53;Bülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;7928
2018;53;Bülach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;7162
2010;54;Dietlikon;103;Bezirk Bülach;102;Glattal;2;Ausland;1;Mann;840
2011;54;Dietlikon;103;Bezirk Bülach;102;Glattal;2;Ausland;1;Mann;866
2014;54;Dietlikon;103;Bezirk Bülach;102;Glattal;1;Schweiz;2;Frau;2987
2016;54;Dietlikon;103;Bezirk Bülach;102;Glattal;1;Schweiz;2;Frau;2960
2011;54;Dietlikon;103;Bezirk Bülach;102;Glattal;1;Schweiz;1;Mann;2670
2019;54;Dietlikon;103;Bezirk Bülach;102;Glattal;2;Ausland;2;Frau;954
2012;55;Eglisau;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;1846
2015;55;Eglisau;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;1934
2019;55;Eglisau;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;2069
2013;55;Eglisau;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;1912
2010;56;Embrach;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;1107
2018;56;Embrach;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;3470
2014;56;Embrach;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;1072
2012;56;Embrach;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;1009
2015;57;Freienstein-Teufen;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;996
2017;57;Freienstein-Teufen;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;193
2018;57;Freienstein-Teufen;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;186
2015;57;Freienstein-Teufen;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;983
2018;58;Glattfelden;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;576
2015;58;Glattfelden;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;512
2014;58;Glattfelden;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;624
2010;59;Hochfelden;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;815
2018;59;Hochfelden;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;103
2017;59;Hochfelden;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;119
2019;59;Hochfelden;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;868
2020;59;Hochfelden;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;174
2018;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;413
2014;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;903
2015;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;899
2012;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;893
2012;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;434
2014;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;468
2018;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;952
2020;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;435
2019;60;Höri;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;557
2010;61;Hüntwangen;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;444
2019;61;Hüntwangen;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;56
2018;61;Hüntwangen;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;1;Mann;60
2015;62;Kloten;103;Bezirk Bülach;102;Glattal;2;Ausland;1;Mann;3150
2014;62;Kloten;103;Bezirk Bülach;102;Glattal;1;Schweiz;2;Frau;6391
2010;62;Kloten;103;Bezirk Bülach;102;Glattal;2;Ausland;1;Mann;2790
2017;62;Kloten;103;Bezirk Bülach;102;Glattal;2;Ausland;1;Mann;3422
2012;62;Kloten;103;Bezirk Bülach;102;Glattal;1;Schweiz;1;Mann;6266
2010;62;Kloten;103;Bezirk Bülach;102;Glattal;1;Schweiz;2;Frau;6556
2011;63;Lufingen;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;155
2018;63;Lufingen;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;950
2011;63;Lufingen;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;770
2015;63;Lufingen;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;2;Frau;817
2016;63;Lufingen;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;197
2017;63;Lufingen;103;Bezirk Bülach;111;Zürcher Unterland;2;Ausland;2;Frau;221
2015;63;Lufingen;103;Bezirk Bülach;111;Zürcher Unterland;1;Schweiz;1;Mann;872
