JAHR;GEMEINDE_BFS_NR;GEMEINDE;BEZIRK_CODE;BEZIRK;REGION_CODE;REGION;HEIMAT_CODE;HEIMAT;GESCHLECHT_CODE;GESCHLECHT;ANZAHL_PERSONEN
2019;1;Aeugst a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;833
2014;1;Aeugst a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;855
2010;1;Aeugst a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;110
2014;1;Aeugst a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;845
2018;1;Aeugst a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;133
2020;1;Aeugst a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;145
2010;2;Affoltern a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;3986
2018;2;Affoltern a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;4490
2020;2;Affoltern a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;1652
2011;2;Affoltern a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;1354
2013;3;Bonstetten;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;338
2015;3;Bonstetten;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;385
2010;3;Bonstetten;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;342
2013;3;Bonstetten;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;2316
2010;4;Hausen a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;186
2011;4;Hausen a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;204
2020;4;Hausen a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;1655
2020;4;Hausen a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;301
2016;4;Hausen a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;243
2017;5;Hedingen;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;268
2012;5;Hedingen;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;239
2016;5;Hedingen;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1557
2019;5;Hedingen;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;324
2017;5;Hedingen;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;1570
2013;5;Hedingen;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;1528
2012;6;Kappel a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;1;Mann;58
2018;6;Kappel a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;1;Mann;474
2010;6;Kappel a.A.;101;Bezirk Affoltern;105;Knonaueramt;1;Schweiz;2;Frau;415
2012;6;Kappel a.A.;101;Bezirk Affoltern;105;Knonaueramt;2;Ausland;2;Frau;52
