data_name;organization_name;division_name;department_name;body_name;published;published_format;published_source;published_ressource;accrualPeriodicity;release_status;status_description;status_updated;dct:issued;dct:publisher;dct:title
Betten pro 1000 Einwohner nach Region;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Patientenaustritte der Zürcher Wohnbevölkerung nach Behandlungskanton;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Patientenaustritte der Zürcher Wohnbevölkerung nach Klinik;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Durchschnittalter, Liegeklasse, Eintrittsart und Aufenthaltsdauer der Patientenaustritte der Zürcher Wohnbevölkerung nach Leistungsbereichen;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Hospitalisierungsrate nach Alter und Wohnregion;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Patientenaustritte der Zürcher Wohnbevölkerung nach Spital und Wohnregion;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Patientenaustritte der Zürcher Wohnbevölkerung nach Spital und SPLG;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Hospitalisierungsrate nach Psychiatrieregion;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenaktutsomatik2017/kenndaten_2018_akutsomatik.xlsx.spooler.download.1562232267645.xlsx/kenndaten_2018_akutsomatik.xlsx;jährlich;2 in Abklärung;Langjährige Publikationsreihe , Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Regierungsratsbeschlüsse;Rechtsdienst der Staatskanzlei;;Staatskanzlei;Kanton Zürich;ja;html;https://www.zh.ch/internet/de/aktuell/rrb.html;;;2 in Abklärung;"Update bis Ende September
";19.08.2019;;;
Vernehmlassungen;Rechtsdienst der Staatskanzlei;;Staatskanzlei;Kanton Zürich;ja;html;https://www.zh.ch/internet/de/aktuell/vernehmlassungen.html;;;2 in Abklärung;"Update bis Ende September
";19.08.2019;;;
Luftqualität;Amt für Abfall, Wasser, Energie und Luft;Abteilung Luft;Baudirektion;Kanton Zürich;ja;html;https://awel.zh.ch/internet/baudirektion/awel/de/luft_klima_elektrosmog/luftqualitaet.html;;Anderes;2 in Abklärung;"Datenbank Ostluft wird aktualisiert; Update bis Ende August
";06.08.2019;;;
Handelsregisterdaten des Kantons Zürich;Handelsregisteramt;;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;2 in Abklärung;"BJ hält fest, dass Daten in kantonaler (und nicht in Hoheit des Bundes) stehen; Update bis Ende September
Stellungnahme EDÖB: https://www.edoeb.admin.ch/edoeb/de/home/datenschutz/handel-und-wirtschaft/handelsregister.html";06.08.2019;;;
Points of Interest;Statistisches Amt;Fach- und Koordinationsstelle OGD;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;2 in Abklärung;"Abklärung der Bedürfnisse mit SOSM-Vorstand; Update Ende September";06.08.2019;;;
Entscheiddatenbank der kantonalen Verwaltung (ZHEntscheide);Rechtsdienst der Staatskanzlei;;Staatskanzlei;Kanton Zürich;ja;html;https://www.zh.ch/internet/de/rechtliche_grundlagen/entscheide/zhentscheide.html;;;2 in Abklärung;"Update bis Ende August
";06.08.2019;;;
Zürcher Gesetzessammlung (ZH-Lex);Rechtsdienst der Staatskanzlei;;Staatskanzlei;Kanton Zürich;ja;html;https://www.zh.ch/internet/de/rechtliche_grundlagen/gesetze.html;;;2 in Abklärung;"Update bis Ende August
";06.08.2019;;;
Geschäfte des Zürcher Kantonsrats;Parlamentsdienste des Kantonsrates;;;Kantonsrat Zürich;ja;html;http://www.kantonsrat.zh.ch/geschaefte/geschaefte.aspx;;;2 in Abklärung;"Datenquellen werden im Web-Relaunch-Projekt der Parlamentsdienste bis Ende August definiert; Update bis Ende August";06.08.2019;;;
Protokolle des Zürcher Kantonsrats;Parlamentsdienste des Kantonsrates;;;Kantonsrat Zürich;ja;html;http://www.kantonsrat.zh.ch/geschaefte/protokolle.aspx;;;2 in Abklärung;"Datenquellen werden im Web-Relaunch-Projekt der Parlamentsdienste bis Ende August definiert; Update bis Ende August";06.08.2019;;;
Konsolidierte Erfolgs- und Investitionsrechnung;Kantonales Rechnungswesen;;Finanzdirektion;Kanton Zürich;ja;pdf;;;jährlich;2 in Abklärung;"Statistische Tätigkeit/Erhebung eines kantonalen Statistikproduzenten; für zusätzliche Publikation in einem offenen Format soll eine HERMES-Studie erstellt werden; Update bis Ende September";07.05.2019;;;
Schriftlich eingereichte Gesuche um Informationszugang im Rahmen des Gesetzes über die Information und den Datenschutz (IDG);Koordinationsstelle IDG;;Staatskanzlei;Kanton Zürich;;;;;jährlich;4 in Vorbereitung;"Vorbereitung mit K-IDG; Update bis Ende September";27.08.2019;;;
Statistik der Lernenden - Übersicht aller Lernenden mit Schulort Kanton Zürich;Generalsekretariat, Bildungsplanung;Bildungsstatistik;Bildungsdirektion;Kanton Zürich;;;;;jährlich;4 in Vorbereitung;Bereitstellung der Daten im Zuge des neuen ZH Web und der Website Bista;23.08.2019;;;
Statistik der Lernenden - Lernende Volksschule Regelklassen, kantonaler Lehrplan;Generalsekretariat, Bildungsplanung;Bildungsstatistik;Bildungsdirektion;Kanton Zürich;;;;;jährlich;4 in Vorbereitung;Bereitstellung der Daten im Zuge des neuen ZH Web und der Website Bista;23.08.2019;;;
Statistik der Lernenden - Lernende Mittelschulen;Generalsekretariat, Bildungsplanung;Bildungsstatistik;Bildungsdirektion;Kanton Zürich;;;;;jährlich;4 in Vorbereitung;Bereitstellung der Daten im Zuge des neuen ZH Web und der Website Bista;23.08.2019;;;
Creative Economies Report 2018;Zürcher Hochschule der Künste (ZHdK);;;Kanton Zürich;ja;pdf;https://www.zhdk.ch/kreativwirtschaft/creative-economies-661;http://www.creativeeconomies.com/publications/creative-economy-report-2018/;;4 in Vorbereitung;"Daten werden durch Statistisches Amt Kanton Zürich aufbereitet; Update bis Ende September";15.08.2019;;zuercher-hochschule-der-kuenste-kanton-zuerich;
Bevölkerungsprognose auf Bezirksebene;Statistisches Amt;Analysen & Studien;Direktion der Justiz und des Innern;Kanton Zürich;ja;xls;https://statistik.zh.ch/internet/justiz_inneres/statistik/de/dienstleistungen/analysen/bevoelkerungsprognosen.html#subtitle-content-internet-justiz_inneres-statistik-de-dienstleistungen-analysen-bevoelkerungsprognosen-jcr-content-contentPar-textimage_0;;;4 in Vorbereitung;"Vorschlag ausarbeiten und Fachspezialist vorlegen; Update Ende September";06.08.2019;;;
Rasterdaten OGD: Bevölkerung, Beschäftigte, Gebäude;Statistisches Amt;Analysen & Studien;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;4 in Vorbereitung;"Initiale Daten aufbereiten; Update bis Ende August
";06.08.2019;;;
Quartieranalyse OGD;Statistisches Amt;Analysen & Studien;Direktion der Justiz und des Innern;Kanton Zürich;ja;shapefile;https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/Raeumliche_Daten/quartieranalyse.html;;;4 in Vorbereitung;"Initiale Daten aufbereiten; Update bis Ende August
";06.08.2019;;;
Abstimmungsempfehlungen des Kanton- und Regierungsrats;Statistisches Amt;Wahlen und Abstimmungen;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;4 in Vorbereitung;Prozess der Datenerfassung mit Abteilung Wahlen & Abstimmungen klären;06.08.2019;;;
Abstimmungsparolen von kantonalzürcher und natinalen Parteien;Statistisches Amt;Wahlen und Abstimmungen;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;4 in Vorbereitung;Prozess der Datenerfassung mit Abteilung Wahlen & Abstimmungen klären;06.08.2019;;;
strassennetz1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;29.11.2018;geoinformation-kanton-zuerich;strassennetz1
gemeindegrenzen3;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;28.01.2019;geoinformation-kanton-zuerich;gemeindegrenzen3
amtliche-vermessung-bodenbedeckung-dm01avzh241;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;amtliche-vermessung-bodenbedeckung-dm01avzh241
ortschaften-und-postleitzahlregionen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;16.05.2011;geoinformation-kanton-zuerich;ortschaften-und-postleitzahlregionen1
vektor-ubersichtsplan1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;02.04.2019;geoinformation-kanton-zuerich;vektor-ubersichtsplan1
wcs-digitales-terrain-dtm-und-oberflachenmodell-dom1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.02.2015;geoinformation-kanton-zuerich;wcs-digitales-terrain-dtm-und-oberflachenmodell-dom1
wfs-amtliche-vermessung-avwfs1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;25.10.2017;geoinformation-kanton-zuerich;wfs-amtliche-vermessung-avwfs1
wms-digitales-hohenmodell-ogd1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.11.2017;geoinformation-kanton-zuerich;wms-digitales-hohenmodell-ogd1
amtliche-vermessung-postleitzahl-ortschaften-dm01avzh241;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;amtliche-vermessung-postleitzahl-ortschaften-dm01avzh241
wms-amtliche-vermessung-s-w-avwms-ogd;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;26.10.2017;geoinformation-kanton-zuerich;wms-amtliche-vermessung-s-w-avwms-ogd
wms-strassennetz-strassentypisierung-nach-richtplan2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;06.06.2017;geoinformation-kanton-zuerich;wms-strassennetz-strassentypisierung-nach-richtplan2
verkehrsmessstellen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;13.02.2018;geoinformation-kanton-zuerich;verkehrsmessstellen1
wms-amtliche-vermessung-avwms-ogd1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;26.10.2017;geoinformation-kanton-zuerich;wms-amtliche-vermessung-avwms-ogd1
wfs-gewasserschutzkarte2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;16.08.2016;geoinformation-kanton-zuerich;wfs-gewasserschutzkarte2
wfs-gemeindegrenzen-1-50001;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;27.03.2013;geoinformation-kanton-zuerich;wfs-gemeindegrenzen-1-50001
orthofoto-fruhjahr-rgb-2015-161;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;17.08.2016;geoinformation-kanton-zuerich;orthofoto-fruhjahr-rgb-2015-161
wms-amtliche-vermessung-avwms1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.01.2014;geoinformation-kanton-zuerich;wms-amtliche-vermessung-avwms1
wms-raster-ubersichtsplan-upwms1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.11.2016;geoinformation-kanton-zuerich;wms-raster-ubersichtsplan-upwms1
landwirtschaftliche-nutzungseignung1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;04.06.2012;geoinformation-kanton-zuerich;landwirtschaftliche-nutzungseignung1
waldareal1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.12.2018;geoinformation-kanton-zuerich;waldareal1
stromanlagen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.01.2017;geoinformation-kanton-zuerich;stromanlagen1
oreb-kataster-vereinfachtes-datenmodell-zh-uberlagernde-festlegungen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;24.11.2011;geoinformation-kanton-zuerich;oreb-kataster-vereinfachtes-datenmodell-zh-uberlagernde-festlegungen1
digitales-terrainmodell-dtm2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.02.2015;geoinformation-kanton-zuerich;digitales-terrainmodell-dtm2
orthofoto-sommer-rgb-infrarot-20181;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;31.12.2018;geoinformation-kanton-zuerich;orthofoto-sommer-rgb-infrarot-20181
wms-tarifzonen-zvv1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;09.03.2015;geoinformation-kanton-zuerich;wms-tarifzonen-zvv1
wfs-haltestellen-des-offentlichen-verkehrs2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;05.06.2013;geoinformation-kanton-zuerich;wfs-haltestellen-des-offentlichen-verkehrs2
amtliche-vermessung-fixpunkte-dm01avzh241;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;amtliche-vermessung-fixpunkte-dm01avzh241
orthofoto-sommer-infrarot-2014-151;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;16.07.2015;geoinformation-kanton-zuerich;orthofoto-sommer-infrarot-2014-151
wms-abflussprozesskarte1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;15.08.2006;geoinformation-kanton-zuerich;wms-abflussprozesskarte1
allgemeiner-wfs-fur-open-government-data-des-kantons-zurich-ogd-zh-wfs1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.01.2018;geoinformation-kanton-zuerich;allgemeiner-wfs-fur-open-government-data-des-kantons-zurich-ogd-zh-wfs1
amtliche-vermessung-liegenschaften-dm01avzh241;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;amtliche-vermessung-liegenschaften-dm01avzh241
isohypsen-dtm1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.02.2015;geoinformation-kanton-zuerich;isohypsen-dtm1
historische-karte-j-wild-18501;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;31.12.1850;geoinformation-kanton-zuerich;historische-karte-j-wild-18501
lidar-laserscanning-geodaten1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.02.2015;geoinformation-kanton-zuerich;lidar-laserscanning-geodaten1
wms-orthofotos1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;16.07.2015;geoinformation-kanton-zuerich;wms-orthofotos1
wms-strassennetz-haupt-und-nebenstrassen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;14.02.2017;geoinformation-kanton-zuerich;wms-strassennetz-haupt-und-nebenstrassen1
wasserrechte1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.09.2010;geoinformation-kanton-zuerich;wasserrechte1
av-kmaf-abstandslinien-eigentumsbeschrankungen-zh1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;av-kmaf-abstandslinien-eigentumsbeschrankungen-zh1
av-kmaf-nutzungsplanung-eigentumsbeschrankungen-zh1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;av-kmaf-nutzungsplanung-eigentumsbeschrankungen-zh1
stromnetzgebiete1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;30.10.2014;geoinformation-kanton-zuerich;stromnetzgebiete1
kantonsstrassen-innerorts-und-ausserorts1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;16.08.2018;geoinformation-kanton-zuerich;kantonsstrassen-innerorts-und-ausserorts1
abflussprozesskarte1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;15.08.2006;geoinformation-kanton-zuerich;abflussprozesskarte1
generalisierte-gemeindegrenzen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;28.01.2019;geoinformation-kanton-zuerich;generalisierte-gemeindegrenzen1
werkhofe-tba1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.11.2018;geoinformation-kanton-zuerich;werkhofe-tba1
veloinfrastruktur-radwege-und-radstreifen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;25.08.2015;geoinformation-kanton-zuerich;veloinfrastruktur-radwege-und-radstreifen1
digitales-oberflachenmodell-dom2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.02.2015;geoinformation-kanton-zuerich;digitales-oberflachenmodell-dom2
seebautenkataster1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;15.08.2019;geoinformation-kanton-zuerich;seebautenkataster1
wms-naturgefahrenkarte-wassertiefenflachen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;21.08.2017;geoinformation-kanton-zuerich;wms-naturgefahrenkarte-wassertiefenflachen1
wfs-klimamodell-zh-planhinweiskarten1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;02.07.2018;geoinformation-kanton-zuerich;wfs-klimamodell-zh-planhinweiskarten1
wms-feinstaub-pm10-immissionen-ogd1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;25.09.2018;geoinformation-kanton-zuerich;wms-feinstaub-pm10-immissionen-ogd1
wms-strassennetz-national-kantons-und-gemeindestrassen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;06.06.2017;geoinformation-kanton-zuerich;wms-strassennetz-national-kantons-und-gemeindestrassen1
wms-warmenutzungsatlas2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;22.06.2015;geoinformation-kanton-zuerich;wms-warmenutzungsatlas2
wfs-siedlungs-und-quartiernamen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;07.10.2006;geoinformation-kanton-zuerich;wfs-siedlungs-und-quartiernamen1
naturgefahrenkarte1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;25.06.2019;geoinformation-kanton-zuerich;naturgefahrenkarte1
kataster-der-belasteten-standorte-kbs2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;16.07.2019;geoinformation-kanton-zuerich;kataster-der-belasteten-standorte-kbs2
oreb-kataster-abstandslinien-offentlich-rechtliche-eigentumsbeschrankungen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;oreb-kataster-abstandslinien-offentlich-rechtliche-eigentumsbeschrankungen1
klimamodell-zh-analysekarten-raster1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;08.06.2018;geoinformation-kanton-zuerich;klimamodell-zh-analysekarten-raster1
klimamodell-zh-planhinweiskarten1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;08.06.2018;geoinformation-kanton-zuerich;klimamodell-zh-planhinweiskarten1
amtliche-vermessung-gebaudeadressen-dm01avzh241;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;11.09.2017;geoinformation-kanton-zuerich;amtliche-vermessung-gebaudeadressen-dm01avzh241
relief-digitales-oberflachenmodell1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;01.02.2015;geoinformation-kanton-zuerich;relief-digitales-oberflachenmodell1
oreb-kataster-vereinfachtes-datenmodell-zh-statische-waldgrenzen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;07.12.2017;geoinformation-kanton-zuerich;oreb-kataster-vereinfachtes-datenmodell-zh-statische-waldgrenzen1
wms-veloparkieranlagen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;27.05.2014;geoinformation-kanton-zuerich;wms-veloparkieranlagen1
wfs-vektor-ubersichtsplan1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;21.02.2018;geoinformation-kanton-zuerich;wfs-vektor-ubersichtsplan1
wfs-strassenlarm1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;18.11.2016;geoinformation-kanton-zuerich;wfs-strassenlarm1
wfs-gewasser-okomorphologie2;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;15.01.2015;geoinformation-kanton-zuerich;wfs-gewasser-okomorphologie2
wfs-beleuchtung1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;14.02.2017;geoinformation-kanton-zuerich;wfs-beleuchtung1
lebensraum-und-vegetationskartierungen1;Amt für Raumentwicklung;Geoinformation;Baudirektion;Kanton Zürich;;;;;;5 ist als OGD publiziert;;31.08.2019;03.02.2017;geoinformation-kanton-zuerich;lebensraum-und-vegetationskartierungen1
