data_name;organization_name;division_name;department_name;body_name;published;published_format;published_source;published_ressource;accrualPeriodicity;release_status;status_description;status_updated;dct:issued;dct:publisher;dct:title
Bewohner/innen nach Altersgruppen am 31.12;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Bewohner/innen nach Aufenthaltsort vor dem Eintritt am 31.12;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Bewohner/innen nach Wohnortbezirk vor dem Eintritt und nach Standortbezirk;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Austritte nach Pflegebedarfsstufen;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Aufenthaltsort nach dem Austritt;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Austritte und Aufenthaltsdauer nach Beherbergungsart;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Unterbringungstage nach Pflegebedarfsstufen;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Verfügbare Betten, Unterbringungstage und durchschnittliche Bettenbelegung;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Unterbringungstage(in 1 000 Tagen);Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Personalbestand am 31.12 nach Einsatzbereichen;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
