BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1990;4.1;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1991;4.3;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1992;4.5;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1993;5.1;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1994;5.0;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1995;5.9;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1996;6.2;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1997;6.1;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1998;4.8;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];1999;7.0;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];2000;5.6;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];2001;5.6;Mio.Fr.;Millionen Franken;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuererträge;299;Steuerertrag von natürlichen Personen [Mio.Fr.];2002;5.6;Mio.Fr.;Millionen Franken;
