GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2014,16121,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2015,15378,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2016,13944,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2017,13249,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1990,2755,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1991,2585,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1992,3720,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1993,5199,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1994,5032,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1995,5600,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1996,5717,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1997,4952,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1998,5093,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1999,5489,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2000,5734,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2001,5672,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2002,5610,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2003,5295,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2004,6670,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2005,6309,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2006,6022,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2007,6059,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2008,5648,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2009,5607,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2010,5082,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2011,4283,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2012,4257,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2013,4213,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2014,4911,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2015,5205,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2016,6104,Fr./Einw.,Franken pro Einwohner,
810200E,Oberengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2017,6094,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1990,3335,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1991,3468,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1992,3018,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1993,2641,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1994,3488,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1995,3768,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1996,3476,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1997,3239,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1998,4098,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1999,4194,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2000,3491,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2001,3341,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2002,2983,Fr./Einw.,Franken pro Einwohner,
810300E,Unterengstringen, Konsolidierte Gemeinde,Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],2003,2917,Fr./Einw.,Franken pro Einwohner,
