Stand,Kanton,Jahr,Stufe,Typ,Geschlecht,Finanzierung,Land,Anzahl
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Portugal,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Griechenland,4
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Asien,2
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Nordamerika,5
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Asien,3
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,M,oef,Bosnien und Herzegowina,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Frankreich,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Staat unbekannt,2
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Österreich,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Schweiz,2707
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Österreich,8
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Italien,19
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Türkei,5
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Nordamerika,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Kroatien,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Italien,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Schweiz,2086
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Nordmazedonien,2
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Afrika,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Süd-/Osteuropa,2
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,M,oef,Griechenland,1
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,M,oef,Nord-/Westeuropa,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Spanien,2
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Deutschland,34
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Serbien,2
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,F,oef,Afrika,1
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,F,oef,Spanien,4
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Kroatien,2
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Süd-/Osteuropa,16
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,F,oef,Italien,1
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,M,oef,Türkei,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Nordmazedonien,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Nord-/Westeuropa,9
23.11.2020,zh,2000,Sekundarstufe I,Handelsmittelschule,M,oef,Süd-/Osteuropa,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Deutschland,11
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Bosnien und Herzegowina,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Griechenland,3
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Österreich,7
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Frankreich,3
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Deutschland,41
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Italien,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Süd-/Osteuropa,22
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Nordmazedonien,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Mittel- und Südamerika,5
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Asien,11
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,priv,Österreich,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Kroatien,16
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Bosnien und Herzegowina,4
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,priv,Nord-/Westeuropa,1
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,M,oef,Spanien,12
23.11.2020,zh,2000,Sekundarstufe I,Gymnasium,F,oef,Nord-/Westeuropa,13
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Türkei,1
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Mittel- und Südamerika,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Asien,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Schweiz,4535
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Österreich,1
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Bosnien und Herzegowina,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Italien,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Bosnien und Herzegowina,9
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Süd-/Osteuropa,4
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Italien,6
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Schweiz,451
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Frankreich,14
