Stand,Kanton,Jahr,Stufe,Typ,Geschlecht,Finanzierung,Land,Anzahl
23.11.2020,zh,2008,Sekundarstufe I,Gymnasium,M,oef,Angola,1
23.11.2020,zh,2008,Sekundarstufe I,Gymnasium,M,priv,Österreich,1
23.11.2020,zh,2008,Sekundarstufe I,Gymnasium,F,oef,Nord-/Westeuropa,6
23.11.2020,zh,2008,Sekundarstufe I,Gymnasium,F,oef,China,3
23.11.2020,zh,2008,Sekundarstufe I,Gymnasium,F,oef,Schweden,3
23.11.2020,zh,2008,Sekundarstufe I,Gymnasium,M,oef,Griechenland,4
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Nordamerika,60
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Grossbritannien,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,M,oef,Spanien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Frankreich,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Grossbritannien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Deutschland,17
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Süd-/Osteuropa,11
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,China,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Asien,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Türkei,7
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Türkei,2
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Portugal,4
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Türkei,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Algerien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Nordmazedonien,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Ã„gypten,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Portugal,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,China,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Bosnien und Herzegowina,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Tibet,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Türkei,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Serbien,15
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Nord-/Westeuropa,8
23.11.2020,zh,2008,Sekundarstufe II,Passerelle,M,oef,Schweiz,15
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Australien,6
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Korea (Süd-),1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Griechenland,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Schweiz,276
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Finnland,1
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Deutschland,5
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Russland,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Spanien,7
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Italien,26
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Slowenien,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,M,priv,Schweiz,22
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Vereinigte Staaten,3
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Sri Lanka,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Indien,7
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Serbien,12
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Deutschland,80
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Italien,1
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Bulgarien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Österreich,8
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Nordamerika,53
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Mittel- und Südamerika,1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Spanien,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,RumÃ¤nien,1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Mittel- und Südamerika,6
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Norwegen,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Kanada,1
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Portugal,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Bulgarien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Portugal,12
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Tunesien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Schweden,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Bosnien und Herzegowina,10
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Vereinigte Staaten,5
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Peru,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Russland,6
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Mittel- und Südamerika,6
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Kuba,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Deutschland,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Bangladesh,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Nord-/Westeuropa,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Türkei,8
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Australien,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Süd-/Osteuropa,1
23.11.2020,zh,2008,Sekundarstufe II,Passerelle,F,oef,Deutschland,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Indien,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Bulgarien,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,M,oef,Deutschland,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Belgien,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Italien,1
23.11.2020,zh,2008,Sekundarstufe II,Passerelle,F,priv,Schweiz,3
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Türkei,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Ukraine,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Sri Lanka,4
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Vereinigte Staaten,1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Frankreich,26
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Spanien,7
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Philippinen,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Österreich,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Österreich,5
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Kosovo,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Mittel- und Südamerika,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Vereinigte Staaten,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Niederlande,5
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Niederlande,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Niederlande,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Kosovo,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Österreich,2
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,F,oef,Türkei,2
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,F,oef,Schweiz,18
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Schweiz,315
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Deutschland,18
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,M,oef,Polen,1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Nord-/Westeuropa,68
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Portugal,3
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,priv,Deutschland,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Grossbritannien,5
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Ungarn,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Kroatien,7
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Staat unbekannt,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Schweiz,190
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Deutschland,77
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Nordamerika,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Asien,10
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Schweiz,120
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Türkei,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Afrika,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Malaysia,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Bulgarien,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Polen,3
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Spanien,7
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Vietnam,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Afghanistan,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Süd-/Osteuropa,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Kanada,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,M,oef,Kroatien,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Albanien,1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Afrika,6
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Italien,30
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Ungarn,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Georgien,1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Deutschland,43
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Irak,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Frankreich,30
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Süd-/Osteuropa,11
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Kanada,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Südafrika,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Nordmazedonien,5
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,M,oef,Kroatien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Griechenland,3
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Portugal,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Russland,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Schweiz,2902
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Kroatien,7
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Spanien,1
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Usbekistan,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Ã„gypten,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,M,oef,Schweiz,109
23.11.2020,zh,2008,Sekundarstufe II,Passerelle,M,oef,Italien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Slowakische Republik,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Ukraine,2
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Serbien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Iran,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Deutschland,36
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Australien,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Serbien,2
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Kamerun,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Griechenland,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Nordamerika,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Österreich,2
23.11.2020,zh,2008,Sekundarstufe II,Passerelle,M,priv,Schweiz,3
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Österreich,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,priv,Schweiz,58
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Frankreich,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Nord-/Westeuropa,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Tschechische Republik,2
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Afrika,5
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Somalia,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Sri Lanka,5
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Spanien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Frankreich,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,priv,Asien,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Schweiz,4014
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Irak,2
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,F,oef,Liechtenstein,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Peru,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Israel,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Albanien,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Polen,2
23.11.2020,zh,2008,Sekundarstufe II,Passerelle,M,oef,Nord-/Westeuropa,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,M,oef,Sri Lanka,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Australien,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Slowenien,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,M,oef,Schweiz,61
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Japan,1
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Asien,8
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Mexiko,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Griechenland,2
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Schweiz,106
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Italien,31
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Irland,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Mongolei,1
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Italien,2
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,DÃ¤nemark,1
23.11.2020,zh,2008,Sekundarstufe II,Informatikmittelschule,M,oef,Russland,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Kosovo,2
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Schweiz,468
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,M,oef,Deutschland,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Frankreich,4
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Luxemburg,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Kambodscha,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Italien,29
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,priv,Nordmazedonien,2
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Pakistan,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Brasilien,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Süd-/Osteuropa,9
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Italien,2
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Brasilien,4
23.11.2020,zh,2008,Sekundarstufe II,andere,F,priv,Schweiz,274
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Nordamerika,3
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Portugal,4
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Türkei,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Österreich,6
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Niederlande,5
23.11.2020,zh,2008,Sekundarstufe II,Passerelle,F,oef,Schweiz,12
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Dominikanische Republik,1
23.11.2020,zh,2008,Sekundarstufe II,Handelsmittelschule,M,oef,Türkei,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Nord-/Westeuropa,86
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,China,1
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,F,oef,Asien,8
23.11.2020,zh,2008,Sekundarstufe II,Gymnasium,M,oef,Island,1
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Russland,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Kroatien,1
23.11.2020,zh,2008,Sekundarstufe II,andere,M,priv,Asien,24
23.11.2020,zh,2008,Sekundarstufe II,Fachmittelschule,F,oef,Algerien,1
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,F,oef,Ungarn,1
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,M,oef,Bulgarien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,priv,Italien,3
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Thailand,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Frankreich,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Australien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Nord-/Westeuropa,5
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Nord-/Westeuropa,5
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,RumÃ¤nien,1
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,F,oef,Türkei,1
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,M,oef,Deutschland,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Kosovo,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,priv,Mittel- und Südamerika,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Australien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Russland,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Nordmazedonien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,priv,Asien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Finnland,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Kanada,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Brasilien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Vereinigte Staaten,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,priv,Nord-/Westeuropa,6
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,M,oef,DÃ¤nemark,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Nordmazedonien,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Deutschland,10
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Slowakische Republik,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Luxemburg,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Luxemburg,1
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,M,oef,Indien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Vereinigte Staaten,5
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Schweiz,2754
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Kroatien,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,priv,Türkei,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Japan,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Österreich,22
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Iran,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Albanien,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Türkei,7
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Nord-/Westeuropa,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Österreich,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Frankreich,2
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,M,oef,Italien,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Ungarn,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,priv,Österreich,3
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Asien,5
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Türkei,7
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,F,oef,Schweiz,66
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Nordamerika,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Afghanistan,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Albanien,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Somalia,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Kosovo,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Österreich,14
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Süd-/Osteuropa,10
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,DÃ¤nemark,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,China,5
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Lettland,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Deutschland,141
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Bosnien und Herzegowina,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,priv,Deutschland,17
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Asien,4
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Italien,29
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Litauen,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,China,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Russland,3
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Mittel- und Südamerika,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Madagaskar,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Grossbritannien,9
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Kosovo,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Kroatien,10
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Bosnien und Herzegowina,3
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Nigeria,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Spanien,11
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,M,oef,Schweiz,64
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Tunesien,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Deutschland,112
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Jordanien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Nordamerika,1
23.11.2020,zh,2009,Sekundarstufe I,Handelsmittelschule,F,oef,Frankreich,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Brasilien,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Irland,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Nordamerika,3
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Irak,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,priv,Schweiz,148
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Tschechische Republik,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Spanien,7
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Niederlande,5
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Neuseeland,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Guinea,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Griechenland,3
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Serbien,14
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Niederlande,10
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,M,oef,Ecuador,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Schweiz,3096
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Japan,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Neuseeland,1
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Mongolei,2
23.11.2020,zh,2009,Sekundarstufe I,Gymnasium,F,oef,Polen,3
