steuerjahr,einkommensklasse,anzahl_pflichtige,steuerbares_einkommen_in_mio,staatssteuer,anteil_pflichtige,anteil_einkommen,anteil_steuer,kumuliert_anteil_pflichtige,kumuliert_anteil_einkommen,kumuliert_steuer_anteil
2012,0  -  999,57399,2.2885,0,6.9449032112872375,0.004220511305031889,0,6.9449032112872375,0.004220511305031889,0
2012,1000  -  9999,53516,280.9511,0.442856,6.475085633116392,0.5181373361202293,0.01431440728903081,13.41998884440363,0.5223578474252611,0.01431440728903081
2012,10000  -  19999,54099,818.4172,10.232752,6.545624816241193,1.5093463162912584,0.33075261442917014,19.965613660644824,2.0317041637165194,0.345067021718201
2012,20000  -  29999,69091,1716.5736,37.655095,8.359558664280675,3.1657497420665455,1.217123323015038,28.325172324925497,5.197453905783065,1.562190344733239
2012,30000  -  39999,81316,2848.5126,82.066906,9.838703627746703,5.25330112773685,2.6526435623195943,38.1638759526722,10.450755033519915,4.214833907052833
2012,40000  -  49999,93595,4198.4699,146.230791,11.324382237677119,7.74292754065375,4.726608876409355,49.48825819034932,18.193682574173664,8.941442783462188
2012,50000  -  59999,87591,4794.7981,190.339014,10.597937545599407,8.842691538735165,6.15231625943543,60.08619573594873,27.03637411290883,15.093759042897618
2012,60000  -  69999,73192,4733.5171,207.617181,8.855752815215169,8.72967552244342,6.710797390200039,68.94194855116389,35.76604963535225,21.804556433097655
2012,70000  -  79999,55963,4177.4606,197.416734,6.771156612715686,7.7041816423968985,6.381088968301787,75.71310516387958,43.47023127774915,28.185645401399444
2012,80000  -  89999,41616,3521.4097,176.90419,5.035263541889749,6.494275485470376,5.718063268412512,80.74836870576934,49.964506763219525,33.903708669811955
2012,90000  -  99999,31376,2970.2222,156.840339,3.7962905827165696,5.477761142039192,5.069540644804774,84.5446592884859,55.44226790525872,38.97324931461673
2012,100000  -  149999,75613,9043.2652,532.994412,9.148677965035311,16.677825217828914,17.227945644059222,93.69333725352121,72.12009312308763,56.20119495867595
